PAYLOAD_SIZE,protocol,num_records,num_threads,contention,reps_per_txn,read_propotion,update_propotion,Core,Node,TotalTime,InitializationTime,ExecutionTime,WaitInInitialization,WaitInExecution
4,serval,10000,64,0.990000,20,0,100,53,1,0,127914346,1593590,0,0
4,serval,10000,64,0.990000,20,0,100,54,1,0,128081082,1595978,0,0
4,serval,10000,64,0.990000,20,0,100,55,1,0,127892804,1598058,0,0
4,serval,10000,64,0.990000,20,0,100,56,1,0,126425942,1587902,0,0
4,serval,10000,64,0.990000,20,0,100,57,1,0,126513552,1585990,0,0
4,serval,10000,64,0.990000,20,0,100,58,1,0,128367960,1591344,0,0
4,serval,10000,64,0.990000,20,0,100,59,1,0,129076942,1592354,0,0
4,serval,10000,64,0.990000,20,0,100,60,1,0,127371868,1610116,0,0
4,serval,10000,64,0.990000,20,0,100,61,1,0,127665102,1605266,0,0
4,serval,10000,64,0.990000,20,0,100,62,1,0,126845284,1615930,0,0
4,serval,10000,64,0.990000,20,0,100,63,1,0,80322996,863004,0,0
